1175,GWERU CITY COUNCIL,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
1176,MARSH INSURANCE BROKERS ZIMBABWE,Zimbabwe,Africa & Middle East,ZWE,Professional Services,INSURANCE,Insurance,Medium,0
1177,BINDURA MUNICIPALITY,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
1178,BRITISH BUSINESS ASSOCIATION IN ZIMBABWE,Zimbabwe,Africa & Middle East,ZWE,Professional Services,FINANCE,FinServ,Low,0
1179,MOPANI PROPERTY DEVELOPMENT PRIVATE LIMI,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
1180,ZIMNAT LION INSURANCE COMPANY LIMITED,Zimbabwe,Africa & Middle East,ZWE,Professional Services,INSURANCE,Insurance,Low,0
1181,TBWA RAAD MIDDLE EAST L L C,Zimbabwe,Africa & Middle East,ARE,Marketing,Marketing Consulting Services,AgencyServFees,Low,0
1182,STANDFAST CONTRACTORS PRIVATE LIMITED,Zimbabwe,Africa & Middle East,ZWE,Property,All Other Professional~ Scientific~ and Technical Services,Fitout&Improv,Low,0
1183,ESLOG ENTERPRISES PRIVATE LIMITED,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,DistMkgServ,Low,0
1184,CITY OF MUTARE,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
1185,KWEKWE CITY COUNCIL,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
1186,MUNICIPALITY OF MARONDERA,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
1187,HWANGE LOCAL BOARD,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rent,Low,0
1188,CHIREDZI TOWN COUNCIL,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rates&Tax,Low,0
1189,DR SIMBARASHE ANDREW PFUMOJENA,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,StaffBenefits,Low,0
1190,HERBERT STANLEY MASHANYARE,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,StaffBenefits,Low,0
1191,EVLYN MKONDO,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,StaffBenefits,Low,0
